Pos,ID,Name,BV,SV,Team,1_xMins,1_Pts,2_xMins,2_Pts,3_xMins,3_Pts,4_xMins,4_Pts,5_xMins,5_Pts,6_xMins,6_Pts,7_xMins,7_Pts,8_xMins,8_Pts,9_xMins,9_Pts,10_xMins,10_Pts,11_xMins,11_Pts,12_xMins,12_Pts
D,326.0,Ibrahima Konaté,5.5,5.5,Liverpool,66,3.0362907407767805,63,2.812613253949337,59,2.1644073843506653,57,2.5979199660634165,58,2.5656953765328527,56,2.3814170446378915,0,0,0,0,0,0,0,0,0,0,0,0
D,244.0,Timothy Castagne,4.5,4.5,Fulham,78,2.2557327529138345,76,3.2426651823873973,73,2.9602420110260166,74,2.815942025981372,70,2.0236657574295367,69,2.1973905504676736,0,0,0,0,0,0,0,0,0,0,0,0
M,83.0,Marcus Tavernier,5.5,5.5,Bournemouth,62,2.6465145786862907,60,2.754227932158701,59,2.54564898945504,57,2.555250839999,56,2.090308809831642,53,2.894656082297044,0,0,0,0,0,0,0,0,0,0,0,0
M,410.0,Sean Longstaff,5.5,5.5,Newcastle,74,3.666561445625132,75,3.0125489353483537,52,2.335894518814147,51,2.3252502381672597,52,2.3008508068703635,50,1.7999235715050663,0,0,0,0,0,0,0,0,0,0,0,0
M,492.0,Dejan Kulusevski,7.0,7.0,Spurs,54,2.8917837982078862,51,2.7109472968977326,51,2.366473720865915,51,1.9267554160113332,52,2.844560430966504,53,2.6472753750513447,0,0,0,0,0,0,0,0,0,0,0,0
D,210.0,Tyrick Mitchell,4.5,4.5,Crystal Palace,85,2.448051024365749,83,2.930116793274171,82,1.659373387256216,82,3.2952210845562973,79,2.613120244183225,79,2.440582632074982,0,0,0,0,0,0,0,0,0,0,0,0
M,471.0,William Smallbone,5.5,5.5,Southampton,73,2.3259774891967946,71,2.612128983421341,70,2.4223378887814837,70,2.650715820057279,68,2.93889218755647,70,2.353318273970593,0,0,0,0,0,0,0,0,0,0,0,0
D,437.0,Neco Williams,4.5,4.5,Nott'm Forest,86,2.836789017915782,81,2.889219961272542,80,3.130591588894508,79,1.272129570052507,79,2.212143166104143,78,2.90258970859461,0,0,0,0,0,0,0,0,0,0,0,0
D,255.0,Antonee Robinson,4.5,4.5,Fulham,81,2.2149314931478328,78,3.225361253747528,75,2.9645995413669897,72,2.692420504821045,73,1.976170885380288,71,2.166554127462519,0,0,0,0,0,0,0,0,0,0,0,0
M,557.0,Mario Lemina,5.0,5.0,Wolves,89,2.319797989304935,84,2.6589502032009844,83,2.71969838943481,81,2.6614897801596937,78,2.524563247178386,77,2.327454376157724,0,0,0,0,0,0,0,0,0,0,0,0
F,268.0,Liam Delap,5.5,5.5,Ipswich,49,2.0828801566521284,55,1.924303741130612,57,2.957803408784329,56,2.425871219667383,59,2.9294061649347203,57,2.872557342171734,0,0,0,0,0,0,0,0,0,0,0,0
